d,n,m,i,igapols.ft
0.2,5,5,2,1321
0.2,5,5,5,1527
0.2,5,5,4,1432
0.2,5,5,7,1503
0.2,5,5,3,1533
0.2,5,5,6,1539
0.2,5,5,0,1191
0.2,5,5,1,1322
0.2,5,5,10,1267
0.2,5,5,8,1297
0.2,5,5,9,997
0.2,5,5,11,1288
0.2,5,5,13,1344
0.2,5,5,12,1621
0.2,5,5,14,1678
0.2,5,5,15,1248
0.2,5,5,16,1366
0.2,5,5,17,1165
0.2,5,5,18,1217
0.2,5,5,20,1376
0.2,5,5,22,1217
0.2,5,5,19,1284
0.2,5,5,23,1571
0.2,5,5,21,1298
0.2,5,5,24,1289
0.2,5,5,27,1141
0.2,5,5,26,1397
0.2,5,5,28,1592
0.2,5,5,29,1148
0.2,5,5,25,1295
0.2,5,10,0,2276
0.2,5,10,1,2504
0.2,5,10,2,2542
0.2,5,10,5,2496
0.2,5,10,7,2100
0.2,5,10,3,2436
0.2,5,10,6,3105
0.2,5,10,4,2423
0.2,5,10,9,2272
0.2,5,10,11,2604
0.2,5,10,8,2154
0.2,5,10,12,2542
0.2,5,10,15,2672
0.2,5,10,10,2884
0.2,5,10,13,2568
0.2,5,10,17,2678
0.2,5,10,14,2545
0.2,5,10,18,2594
0.2,5,10,19,2305
0.2,5,10,16,2473
0.2,5,10,20,2287
0.2,5,10,21,2211
0.2,5,10,23,1966
0.2,5,10,24,2409
0.2,5,10,22,2732
0.2,5,10,25,2811
0.2,5,10,27,2733
0.2,5,10,26,2122
0.2,5,10,28,2202
0.2,5,10,29,2636
0.2,5,20,0,4939
0.2,5,20,3,4522
0.2,5,20,2,4543
0.2,5,20,1,4659
0.2,5,20,4,4761
0.2,5,20,6,4819
0.2,5,20,5,4712
0.2,5,20,7,4289
0.2,5,20,10,3980
0.2,5,20,11,5011
0.2,5,20,8,4676
0.2,5,20,12,4504
0.2,5,20,13,4627
0.2,5,20,9,4701
0.2,5,20,14,4604
0.2,5,20,16,4532
0.2,5,20,15,4672
0.2,5,20,17,4251
0.2,5,20,19,4582
0.2,5,20,18,4366
0.2,5,20,21,4541
0.2,5,20,20,4056
0.2,5,20,24,4682
0.2,5,20,22,4342
0.2,5,20,23,4463
0.2,5,20,27,4793
0.2,5,20,25,4843
0.2,5,20,29,4759
0.2,5,20,28,4861
0.2,5,20,26,4756
0.2,5,30,1,6290
0.2,5,30,0,6476
0.2,5,30,2,6813
0.2,5,30,3,6713
0.2,5,30,5,6059
0.2,5,30,7,6611
0.2,5,30,6,6567
0.2,5,30,4,5921
0.2,5,30,9,6222
0.2,5,30,8,6767
0.2,5,30,10,6579
0.2,5,30,12,7100
0.2,5,30,14,7271
0.2,5,30,11,6662
0.2,5,30,15,6549
0.2,5,30,13,6934
0.2,5,30,16,6924
0.2,5,30,17,6477
0.2,5,30,18,6795
0.2,5,30,20,6995
0.2,5,30,19,6834
0.2,5,30,23,6431
0.2,5,30,21,7174
0.2,5,30,24,6218
0.2,5,30,25,6898
0.2,5,30,26,6605
0.2,5,30,22,6722
0.2,5,30,27,6923
0.2,5,30,28,6951
0.2,5,30,29,5532
0.2,100,5,0,184018
0.2,100,5,6,188143
0.2,100,5,1,185364
0.2,100,5,5,186261
0.2,100,5,7,186774
0.2,100,5,4,180124
0.2,100,5,3,181338
0.2,100,5,2,189122
0.2,100,5,10,177527
0.2,100,5,11,179791
0.2,100,5,9,180728
0.2,100,5,12,175183
0.2,100,5,8,185256
0.2,100,5,15,184760
0.2,100,5,14,180635
0.2,100,5,13,190420
0.2,100,5,19,184855
0.2,100,5,18,184758
0.2,100,5,17,172053
0.2,100,5,20,176550
0.2,100,5,16,180812
0.2,100,5,21,191840
0.2,100,5,23,169902
0.2,100,5,22,191651
0.2,100,5,24,202190
0.2,100,5,25,181287
0.2,100,5,27,178977
0.2,100,5,26,180042
0.2,100,5,28,177292
0.2,100,5,29,179888
0.2,100,10,1,229346
0.2,100,10,3,233683
0.2,100,10,0,231525
0.2,100,10,2,232615
0.2,100,10,5,236409
0.2,100,10,6,232385
0.2,100,10,7,236214
0.2,100,10,4,232726
0.2,100,10,8,229840
0.2,100,10,10,235146
0.2,100,10,9,237523
0.2,100,10,11,238074
0.2,100,10,13,228643
0.2,100,10,15,229828
0.2,100,10,14,233165
0.2,100,10,12,230319
0.2,100,10,16,235199
0.2,100,10,17,243820
0.2,100,10,19,233090
0.2,100,10,23,237575
0.2,100,10,22,231526
0.2,100,10,21,212269
0.2,100,10,18,225148
0.2,100,10,20,224144
0.2,100,10,24,228742
0.2,100,10,26,238522
0.2,100,10,27,229303
0.2,100,10,25,214356
0.2,100,10,28,235784
0.2,100,10,29,233871
0.2,100,20,2,315705
0.2,100,20,1,314762
0.2,100,20,3,319035
0.2,100,20,4,298849
0.2,100,20,0,309875
0.2,100,20,6,304512
0.2,100,20,5,304230
0.2,100,20,7,315968
0.2,100,20,9,302975
0.2,100,20,14,304164
0.2,100,20,11,304331
0.2,100,20,8,310840
0.2,100,20,10,300996
0.2,100,20,13,306539
0.2,100,20,15,307548
0.2,100,20,12,296661
0.2,100,20,17,303882
0.2,100,20,18,309290
0.2,100,20,19,304675
0.2,100,20,21,302725
0.2,100,20,20,309491
0.2,100,20,22,302256
0.2,100,20,16,306022
0.2,100,20,26,313527
0.2,100,20,27,310970
0.2,100,20,25,296852
0.2,100,20,24,313037
0.2,100,20,28,311883
0.2,100,20,23,302036
0.2,100,20,29,308287
0.2,100,30,1,374615
0.2,100,30,2,371627
0.2,100,30,0,368997
0.2,100,30,6,382313
0.2,100,30,5,388509
0.2,100,30,4,386261
0.2,100,30,7,373308
0.2,100,30,8,375864
0.2,100,30,11,375716
0.2,100,30,9,372315
0.2,100,30,10,367776
0.2,100,30,3,383344
0.2,100,30,12,375420
0.2,100,30,14,388280
0.2,100,30,17,379440
0.2,100,30,15,378461
0.2,100,30,16,379284
0.2,100,30,13,375173
0.2,100,30,19,389333
0.2,100,30,18,376896
0.2,100,30,20,377808
0.2,100,30,21,370092
0.2,100,30,22,369285
0.2,10,5,0,3164
0.2,10,5,1,3764
0.2,10,5,2,4110
0.2,10,5,3,4519
0.2,10,5,4,3167
0.2,10,5,5,3415
0.2,10,5,6,2810
0.2,10,5,7,3814
0.2,10,5,8,3910
0.2,10,5,9,3530
0.2,10,5,10,3270
0.2,10,5,11,3275
0.2,10,5,12,3389
0.2,100,30,23,377176
0.2,10,5,13,3656
0.2,10,5,14,3111
0.2,10,5,15,3696
0.2,10,5,16,3967
0.2,10,5,17,3340
0.2,10,5,18,4377
0.2,10,5,20,3744
0.2,10,5,19,4121
0.2,10,5,21,3270
0.2,10,5,22,3879
0.2,10,5,23,3216
0.2,10,5,24,3889
0.2,10,5,25,3311
0.2,10,5,26,3668
0.2,10,5,27,3975
0.2,10,5,28,2811
0.2,10,5,29,3326
0.2,10,10,0,6806
0.2,10,10,1,5640
0.2,10,10,2,6287
0.2,10,10,3,5956
0.2,10,10,4,5840
0.2,10,10,5,5860
0.2,10,10,6,6330
0.2,10,10,7,6120
0.2,10,10,8,7336
0.2,10,10,9,5582
0.2,10,10,10,5951
0.2,10,10,11,6544
0.2,10,10,12,5929
0.2,10,10,13,6496
0.2,10,10,15,6163
0.2,10,10,14,5335
0.2,10,10,17,6010
0.2,10,10,16,6626
0.2,10,10,18,5952
0.2,10,10,19,5694
0.2,10,10,21,6195
0.2,10,10,20,6104
0.2,10,10,23,5387
0.2,10,10,22,6657
0.2,10,10,24,6181
0.2,10,10,25,6132
0.2,10,10,26,6305
0.2,10,10,27,5640
0.2,10,10,28,5830
0.2,10,10,29,5352
0.2,100,30,26,380156
0.2,10,20,0,10651
0.2,10,20,2,9780
0.2,10,20,1,10332
0.2,10,20,3,10137
0.2,10,20,4,11990
0.2,10,20,5,10847
0.2,10,20,6,11238
0.2,10,20,7,10919
0.2,10,20,8,10625
0.2,10,20,9,10211
0.2,10,20,11,10906
0.2,10,20,10,10588
0.2,10,20,12,11429
0.2,10,20,13,11021
0.2,10,20,14,10904
0.2,10,20,15,10603
0.2,10,20,16,10344
0.2,10,20,17,9619
0.2,10,20,19,9883
0.2,10,20,18,10820
0.2,10,20,20,10907
0.2,10,20,21,10236
0.2,10,20,22,9745
0.2,10,20,23,11334
0.2,10,20,24,11391
0.2,10,20,25,10873
0.2,10,20,27,10284
0.2,10,20,26,10994
0.2,10,20,28,11404
0.2,10,20,29,10246
0.2,10,30,0,14342
0.2,10,30,1,14522
0.2,10,30,2,15022
0.2,10,30,3,14365
0.2,100,30,25,376182
0.2,10,30,4,13607
0.2,10,30,5,15192
0.2,10,30,6,15446
0.2,10,30,7,14471
0.2,10,30,8,15819
0.2,10,30,9,16281
0.2,10,30,10,16005
0.2,10,30,12,14613
0.2,10,30,11,16053
0.2,10,30,15,15152
0.2,10,30,13,14172
0.2,10,30,14,15758
0.2,10,30,16,14018
0.2,10,30,17,14513
0.2,10,30,18,14450
0.2,10,30,19,15452
0.2,10,30,20,14316
0.2,10,30,21,15301
0.2,10,30,23,14711
0.2,10,30,22,14459
0.2,10,30,25,14564
0.2,10,30,24,14145
0.2,10,30,26,15136
0.2,10,30,27,16058
0.2,10,30,28,15782
0.2,10,30,29,15127
0.2,20,5,0,10096
0.2,20,5,1,10982
0.2,20,5,2,9980
0.2,20,5,3,10009
0.2,20,5,4,10981
0.2,20,5,5,10150
0.2,20,5,6,9880
0.2,20,5,7,11069
0.2,20,5,8,10624
0.2,20,5,9,11288
0.2,100,30,27,380619
0.2,20,5,10,9707
0.2,20,5,11,10875
0.2,20,5,12,10591
0.2,20,5,13,10522
0.2,20,5,14,9418
0.2,20,5,15,11655
0.2,20,5,16,9000
0.2,20,5,17,9272
0.2,20,5,18,10414
0.2,20,5,19,10209
0.2,20,5,20,9786
0.2,20,5,21,10837
0.2,20,5,22,10590
0.2,20,5,23,11917
0.2,20,5,24,11271
0.2,20,5,25,8771
0.2,20,5,26,8689
0.2,20,5,27,10152
0.2,20,5,29,10487
0.2,20,5,28,9672
0.2,20,10,1,14972
0.2,20,10,0,15784
0.2,20,10,2,15515
0.2,20,10,4,15223
0.2,20,10,3,15607
0.2,20,10,5,14557
0.2,20,10,6,16674
0.2,20,10,7,15400
0.2,20,10,9,16451
0.2,20,10,8,17271
0.2,20,10,10,17417
0.2,20,10,11,14800
0.2,20,10,12,14930
0.2,20,10,13,16430
0.2,20,10,14,16494
0.2,20,10,15,16895
0.2,20,10,16,16041
0.2,20,10,17,17063
0.2,20,10,18,16048
0.2,20,10,19,16277
0.2,20,10,20,15144
0.2,20,10,21,15580
0.2,20,10,22,14914
0.2,20,10,23,16040
0.2,20,10,24,17032
0.2,20,10,25,15588
0.2,20,10,26,15637
0.2,100,30,29,373490
0.2,20,10,27,15735
0.2,20,10,28,17029
0.2,20,10,29,14912
0.2,20,20,0,26381
0.2,20,20,3,26861
0.2,20,20,1,26450
0.2,20,20,2,26846
0.2,20,20,4,25252
0.2,20,20,5,26345
0.2,20,20,6,27325
0.2,20,20,8,27827
0.2,20,20,7,25468
0.2,20,20,9,25526
0.2,20,20,10,25807
0.2,20,20,11,25459
0.2,20,20,12,26038
0.2,20,20,14,25514
0.2,20,20,16,28138
0.2,20,20,15,26509
0.2,20,20,13,26788
0.2,20,20,17,25375
0.2,100,30,28,377509
0.2,20,20,18,26104
0.2,20,20,19,26802
0.2,20,20,21,25758
0.2,20,20,22,26069
0.2,20,20,23,27065
0.2,20,20,20,26591
0.2,20,20,24,25798
0.2,20,20,25,26166
0.2,20,20,26,24991
0.2,20,20,29,26342
0.2,20,20,28,26519
0.2,20,20,27,26177
0.2,100,30,24,368803
0.2,20,30,0,36486
0.2,20,30,1,37322
0.2,20,30,2,36026
0.2,20,30,3,36151
0.2,20,30,6,36740
0.2,20,30,4,34598
0.2,20,30,5,36306
0.2,20,30,7,34040
0.2,20,30,8,34586
0.2,20,30,9,35574
0.2,20,30,10,33957
0.2,20,30,11,34386
0.2,20,30,13,34948
0.2,20,30,12,33708
0.2,20,30,14,36153
0.2,20,30,15,37091
0.2,20,30,16,37984
0.2,20,30,17,34980
0.2,20,30,18,37016
0.2,20,30,19,37018
0.2,20,30,20,35789
0.2,20,30,21,34933
0.2,20,30,22,39042
0.2,20,30,23,35818
0.2,20,30,24,35535
0.2,20,30,25,36997
0.2,20,30,26,36107
0.2,20,30,28,35835
0.2,30,5,0,18400
0.2,30,5,1,21963
0.2,20,30,27,36694
0.2,20,30,29,35133
0.2,30,5,2,20562
0.2,30,5,4,16360
0.2,30,5,3,20335
0.2,30,5,5,24228
0.2,30,5,7,20456
0.2,30,5,8,20286
0.2,30,5,6,21462
0.2,30,5,9,20825
0.2,30,5,10,19731
0.2,30,5,11,21127
0.2,30,5,12,20243
0.2,30,5,13,19137
0.2,30,5,15,20514
0.2,30,5,14,19317
0.2,30,5,16,19819
0.2,30,5,18,20969
0.2,30,5,17,18972
0.2,30,5,20,19413
0.2,30,5,19,21013
0.2,30,5,21,19029
0.2,30,5,22,20157
0.2,30,5,23,20687
0.2,30,5,24,19395
0.2,30,5,25,17316
0.2,30,5,26,20712
