d,n,m,i,bkv
0.2,5,5,0,1191
0.2,5,5,1,1322
0.2,5,5,2,1321
0.2,5,5,3,1533
0.2,5,5,4,1432
0.2,5,5,5,1527
0.2,5,5,6,1539
0.2,5,5,7,1503
0.2,5,5,8,1259
0.2,5,5,9,997
0.2,5,5,10,1267
0.2,5,5,11,1288
0.2,5,5,12,1620
0.2,5,5,13,1344
0.2,5,5,14,1678
0.2,5,5,15,1248
0.2,5,5,16,1366
0.2,5,5,17,1165
0.2,5,5,18,1217
0.2,5,5,19,1283
0.2,5,5,20,1376
0.2,5,5,21,1298
0.2,5,5,22,1217
0.2,5,5,23,1552
0.2,5,5,24,1272
0.2,5,5,25,1219
0.2,5,5,26,1393
0.2,5,5,27,1141
0.2,5,5,28,1592
0.2,5,5,29,1148
0.2,5,10,0,2276
0.2,5,10,1,2481
0.2,5,10,2,2515
0.2,5,10,3,2376
0.2,5,10,4,2410
0.2,5,10,5,2496
0.2,5,10,6,3105
0.2,5,10,7,2037
0.2,5,10,8,2087
0.2,5,10,9,2257
0.2,5,10,10,2756
0.2,5,10,11,2564
0.2,5,10,12,2542
0.2,5,10,13,2568
0.2,5,10,14,2545
0.2,5,10,15,2633
0.2,5,10,16,2460
0.2,5,10,17,2678
0.2,5,10,18,2594
0.2,5,10,19,2305
0.2,5,10,20,2285
0.2,5,10,21,2099
0.2,5,10,22,2732
0.2,5,10,23,1966
0.2,5,10,24,2409
0.2,5,10,25,2632
0.2,5,10,26,2119
0.2,5,10,27,2733
0.2,5,10,28,2169
0.2,5,10,29,2578
0.2,5,20,0,4903
0.2,5,20,1,4419
0.2,5,20,2,4543
0.2,5,20,3,4477
0.2,5,20,4,4761
0.2,5,20,5,4704
0.2,5,20,6,4819
0.2,5,20,7,4187
0.2,5,20,8,4503
0.2,5,20,9,4562
0.2,5,20,10,3980
0.2,5,20,11,4895
0.2,5,20,12,4494
0.2,5,20,13,4555
0.2,5,20,14,4491
0.2,5,20,15,4651
0.2,5,20,16,4532
0.2,5,20,17,4200
0.2,5,20,18,4314
0.2,5,20,19,4567
0.2,5,20,20,4041
0.2,5,20,21,4539
0.2,5,20,22,4342
0.2,5,20,23,4327
0.2,5,20,24,4631
0.2,5,20,25,4715
0.2,5,20,26,4697
0.2,5,20,27,4793
0.2,5,20,28,4675
0.2,5,20,29,4715
0.2,5,30,0,6346
0.2,5,30,1,6242
0.2,5,30,2,6700
0.2,5,30,3,6713
0.2,5,30,4,5770
0.2,5,30,5,6035
0.2,5,30,6,6533
0.2,5,30,7,6611
0.2,5,30,8,6666
0.2,5,30,9,6137
0.2,5,30,10,6497
0.2,5,30,11,6482
0.2,5,30,12,7021
0.2,5,30,13,6728
0.2,5,30,14,7178
0.2,5,30,15,6539
0.2,5,30,16,6705
0.2,5,30,17,6477
0.2,5,30,18,6733
0.2,5,30,19,6810
0.2,5,30,20,6979
0.2,5,30,21,7174
0.2,5,30,22,6688
0.2,5,30,23,6431
0.2,5,30,24,6027
0.2,5,30,25,6774
0.2,5,30,26,6543
0.2,5,30,27,6457
0.2,5,30,28,6880
0.2,5,30,29,5467
0.2,10,5,0,3143
0.2,10,5,1,3633
0.2,10,5,2,4110
0.2,10,5,3,4519
0.2,10,5,4,3145
0.2,10,5,5,3368
0.2,10,5,6,2759
0.2,10,5,7,3729
0.2,10,5,8,3904
0.2,10,5,9,3480
0.2,10,5,10,3249
0.2,10,5,11,3275
0.2,10,5,12,3357
0.2,10,5,13,3628
0.2,10,5,14,3108
0.2,10,5,15,3603
0.2,10,5,16,3833
0.2,10,5,17,3292
0.2,10,5,18,4362
0.2,10,5,19,4065
0.2,10,5,20,3675
0.2,10,5,21,3265
0.2,10,5,22,3826
0.2,10,5,23,3216
0.2,10,5,24,3889
0.2,10,5,25,3311
0.2,10,5,26,3527
0.2,10,5,27,3969
0.2,10,5,28,2784
0.2,10,5,29,3281
0.2,10,10,0,6597
0.2,10,10,1,5601
0.2,10,10,2,6287
0.2,10,10,3,5789
0.2,10,10,4,5653
0.2,10,10,5,5840
0.2,10,10,6,6211
0.2,10,10,7,6023
0.2,10,10,8,7262
0.2,10,10,9,5512
0.2,10,10,10,5945
0.2,10,10,11,6505
0.2,10,10,12,5929
0.2,10,10,13,6476
0.2,10,10,14,5157
0.2,10,10,15,6163
0.2,10,10,16,6626
0.2,10,10,17,5820
0.2,10,10,18,5648
0.2,10,10,19,5694
0.2,10,10,20,6039
0.2,10,10,21,6195
0.2,10,10,22,6473
0.2,10,10,23,5257
0.2,10,10,24,6003
0.2,10,10,25,6122
0.2,10,10,26,6246
0.2,10,10,27,5603
0.2,10,10,28,5830
0.2,10,10,29,5352
0.2,10,20,0,10651
0.2,10,20,1,10161
0.2,10,20,2,9280
0.2,10,20,3,10137
0.2,10,20,4,11990
0.2,10,20,5,10727
0.2,10,20,6,11056
0.2,10,20,7,10498
0.2,10,20,8,10295
0.2,10,20,9,10095
0.2,10,20,10,10378
0.2,10,20,11,10657
0.2,10,20,12,11064
0.2,10,20,13,11021
0.2,10,20,14,10811
0.2,10,20,15,10279
0.2,10,20,16,10062
0.2,10,20,17,9612
0.2,10,20,18,10371
0.2,10,20,19,9809
0.2,10,20,20,10844
0.2,10,20,21,9852
0.2,10,20,22,9647
0.2,10,20,23,11322
0.2,10,20,24,11292
0.2,10,20,25,10801
0.2,10,20,26,10899
0.2,10,20,27,10185
0.2,10,20,28,11119
0.2,10,20,29,10155
0.2,10,30,0,13894
0.2,10,30,1,14346
0.2,10,30,2,14962
0.2,10,30,3,14237
0.2,10,30,4,13511
0.2,10,30,5,15000
0.2,10,30,6,15446
0.2,10,30,7,14375
0.2,10,30,8,15504
0.2,10,30,9,16237
0.2,10,30,10,16005
0.2,10,30,11,15930
0.2,10,30,12,14482
0.2,10,30,13,14064
0.2,10,30,14,15758
0.2,10,30,15,14970
0.2,10,30,16,13977
0.2,10,30,17,14371
